,Unnamed: 0,title,sub_title,intro,link_url,image_url
37,37.0,이상한 콘서트 - 창원,가족/아동 ,"오브제 인형극. '이상한 콘서트'는 배우와 인형의 움직임과 표현을 통해서 다양한 상상과 웃음을 관객들에게 선물해 주는 공연이다. 영유아동을 비롯환 어른들도 함께 즐길 수 있는 대중적이면서도 독립적인 공연 형식과 내용으로 설계되어 인형극을 수용할 수 있는 관객층이 확대 되도록 창작하였다. '이상한 콘서트'는 다양한 주제를 가진 독립된 에피소드로 구성되었으며, 수동적 관람 형태에서 탈피하여 관객들이 보다 적극적으로 공연을 경험하는 방향으로 제작되었다.",,
38,38.0,은하철도의 밤,뮤지컬 ,"앞을 못 보는 조반니는 아버지가 실종된 후, 학업과 아르바이트를 병행하며 고된 삶을 이어간다. 7년 만에 되돌아온 은하수 축제의 날, 어릴 적 친구 캄파넬라가 찾아와 함께 축제에 가자고 제안하고, 조반니는 아르바이트 등을 이유로 거절한다.",,
39,39.0,아기돼지 삼형제,가족/아동 ,"""아이 졸려~ 난 매일매일 잠만 잘 거야!"" 게으른 첫째 돼지! ""먹는 게 제일 좋아!"" 얼렁뚱땅 둘째 돼지! '영리하고 부지런한' 똘똘한 막내 돼지!",,
40,40.0,렛미플라이,뮤지컬 ,아폴로 11호가 달을 향해 쏘아 올려진 1969년의 밤. 동네 최고의 수선장이 남원은 편지 한 통을 받으며 불가능할 것만 같았던 패션 디자이너라는 꿈에 한 발짝 다가선다. 사랑하는 정분이와의 멋진 내일을 꿈꾸던 남원은 점점 커지는 달에 놀라 쓰러지고 다시 눈을 뜬 곳은 2020년의 어느 날! 당황스럽고 어리둥절한 남원 앞에 나타난 선희 할머니. 2020년이 낯선 듯 익숙한 남원에게 어떻게든 사랑하는 정분이가 있는 1969년으로 돌아가기 위한 미래 탐사가 펼쳐진다!,,
41,41.0,데스노트,뮤지컬 ,"법과 정의에 대해 고민하던 천재 고등학생 '야가미 라이토' 어느 날 우연히 데스노트를 줍게 된다. '이 노트에 이름이 적힌 자는 죽는다.' 이 문구에 뉴스 속보로 생중계된 범죄자의 이름을 노트에 적게 되는데… 노트의 엄청난 비밀을 알게 된 '라이토'는 자신의 손으로 범죄자를 처단하여, 정의롭고 새로운 세상을 만들어 가기로 결심한다. 세계 각지의 범죄자들이 의문의 심장마비로 사망하고 사람들은 범죄자를 처단하는 존재를 '키라'라고 부르며 신봉하기 시작한다.",,
42,42.0,미오 프라텔로,뮤지컬 ,"“거절할 수 없는 제안을 하지.” 늦은 밤 도박장 산타루치아에서 마피아 히트맨 ‘스티비’는 상원의원에 출마하는 보스 ‘써니보이’에게 도움이 될 만한 책을 집필하고 있다. 창작의 고통과 영감에 사로잡혀 있는 스티비에게 전대 마피아 보스 루치아노의 아들 ‘치치’가 유령처럼 찾아온다. 죽은 것으로 알려져 있던 치치가 찾아오자 쉽사리 믿지 못하는 스티비. 치치는 현 보스인 써니보이를 못마땅하게 여기며 스티비가 써놓은 원고를 훑어본다. 두 사람은 써니보이와 얽힌 이야기로 과거와 현실의 벽을 넘나들며 엇갈린 사랑, 형제애, 그리고 미처 알지 못했던 진실을 알게 되는데… ",,
43,43.0,뷰티풀라이프 - 대구,연극,"한 남자, 그리고 한 여자. 두 사람이 처음 만나 서로 호감을 가지고 연애하기까지 몇 분도 걸리지 않는다. 연애할 때는 서로 죽고 못 살 정도로 닭살 커플이지만, 서로 떨어지게 되면서 자연스럽게 멀어지게 된다.",,
44,44.0,헬로우 미스미스터 - 대전,연극 ,작곡가를 꿈꾸는 고딩. 효빈. 과제 준비로 정신이 없는데...... 연극반 찐친이 갑작스레 소개팅 제안을 한다. 안 나가겠다 철벽 방어. 하지만 소개팅 상대가 평소 관심 있었던 미술과 종국이라면..... 꺄악~~~~,,
45,45.0,＃나만빼고 - 광주,연극 ,"고백 한 번 해보지 못하고 나 홀로 이별 여행을 떠나는 찌질한 청년 진욱. 여행 도중에 만나게 되는 취준생 세 친구, 주말부부 남편, 게스트하우스에서 만나는 독특하고 재미있는 상황과 사람들, 아침에 식당에서 만나는 가족 이야기...",,
46,46.0,초록마술사의 스토리텔링 매직쇼 - 부산,가족/아동 ,오프닝 공연 전 아이들에게 웃음을 전달하는 초록마술사… 마술이 시작되면 아이들은 초록마술사의 재미있는 마술 여행을 하게 된다.,,
47,47.0,클럽 베를린,연극 ,"여행 연극을 만들던 작가 겸 배우 박동욱은 베를린을 기점으로 유럽 여행을 시작한다. 함께 작업하던 배우 전석호는 촬영 일정 때문에 열흘 정도 같이 머물다가 서울로 가버리고, 여행 루키 김영욱은 어디로 가야 할지 몰라 동욱의 뒤를 졸졸 따라다닌다.",,
48,48.0,〈빈센트 반 고흐〉 - 서울,뮤지컬 ,"그림을 사랑한 화가, 빈센트 반 고흐. 그를 위한 동생 테오 반 고흐의 아주 특별한 선물. 동생 테오 반 고흐는 형을 위한 유작전을 열고자 한다. 빈센트와 주고받았던 편지와 그림들을 정리하면서 그와의 기억을 더듬는다. 그림을 그리기 전부터, 그림을 그리기 시작하고 그 때문에 웃고 울었던 지난 날, 그리고 마지막으로 자신의 생명을 그림에 걸기로 마음먹은 날에 이르기까지. 편지와 함께 같은 기억을 공유하며 시간을 여행하는 빈센트와 테오. 다른 시공간 속에 있지만 평생에 걸쳐 서로를 의지하고 믿었던 두 형제의 이야기가 시작된다.",,
49,49.0,태양의 노래,뮤지컬 ,"뜨거운 태양 아래 서핑을 즐기는 소년 하람은 어두운 달빛 아래서 기타를 메고 노래하는 소녀 해나를 만난다. ""항상 지켜보고 있었어. 남자친구는 없어."" 갑작스러운 고백에 당황한 하람은 꿈을 노래하는 해나에게 금세 설레기 시작하고 두 사람은 밤이 되면 찾아오는 달콤한 데이트에 즐겁기만 하다.",,
50,50.0,브레맨 음악대 함께 노래해요 - 창원,가족/아동 ,노래 부르기를 즐겨하는 당나귀. 울고 있는 멍멍이. 발톱을 잃어버린 고양이. 목소리가 나지 않는 꼬꼬닭. 이들이 함께 브레맨으로 떠나요. 과연 우리 친구들에게 어떤 일이 일어날까요?,,
51,51.0,요리하는 마술사 - 성남,가족/아동 ,SINCE2009! 매직쇼&버블쇼&그림자쇼&쿠키만들기체험&마술체험 넘버원 어린이 매지컬!,,
52,52.0,만 마디를 대신하는 말 한마디,연극 ,"하남 연진의 양 씨 마을. 가족과 이웃으로부터 무시 받으며 살던 두붓집 아들 '양백순'이 살의가 생길 만큼 상처가 깊어지자 결국 마을을 떠난다. 그러던 중 '첨' 신부를 만나 '양모세'로 개명하고, 만둣집 '오향향'네 데릴사위가 되어, '오모세'로 살아간다.",,
53,53.0,연극열전9 - 보이지 않는 손,연극 ,"“천만 달러요? 그건 불가능해요.” 파키스탄 무장단체에게 상사 대신 납치 당한 미국인 투자 전문가 닉. 미국과의 협상이 결렬되면서 석방이 어려워지자 닉은 자신의 몸값인 천만 달러를 직접 벌겠다는 위험한 거래를 제안한다. 미래의 시세 차익을 노린 옵션 거래로 성공적인 투자 성과를 올리며 모든 것이 순조롭던 순간도 잠시, 지도자 이맘 살림이 수익금을 다른 용도로 사용하면서 갈등이 시작된다. 한편, 이슬람 율법에 따라 이자를 취하는 것 조차 죄악시하던 바시르는 닉의 투자를 도우며 순식간에 자본주의 시스템에 젖어들고 순수했던 어린 조직원 다르 역시 점차 변해가기 시작하는데…",,
54,54.0,아기돼지야 준비해 - 청주,가족/아동 ,한 마을에 아주 귀여운 아기돼지 삼 형제가 살고 있었어요. 형제는 노래도 부르고 춤도 추며 평화로운 일상을 보내고 있었죠. 그러던 어느 날 배고픈 늑대가 나타나서 이들의 평화로운 일상이 깨졌어요!,,
55,55.0,Take-out Jazz,콘서트 ,"'Take-out Jazz'는 서울 나음아트홀에서 진행하는 프로그램으로 로맨틱한 분위기 속에서 공연을 관람할수 있는 새로운 문화 예술입니다. 관객분들께 배달 및 포장음식, 도시락 등 자유롭게 음식을 가져오시는걸 환영합니다! 나음아트홀은 관객분들께 재즈 공연을 포장해서 여러분들을 기다리겠습니다. 편안한 분위기 속에서 재즈 아티스트의 자유로운 연주와 함께 집에서 느꼈던 아늑함과 맛있는 음식을 먹으며 소소한 행복을 즐겨보세요.",,
56,56.0,전세역전,연극 ,서로 다른 둘이 하나로 합쳐지는 과정에서 상처는 생기기 마련. 그 상처를 제때 치유하지 못하면 점점 더 사소한 것에서도 상처를 받고 멀어지는 게 바로 결혼이다.,,
57,57.0,슬기로운 신혼생활,연극 ,17금 섹시코믹 로맨스연극! 진짜 웃기고 가끔 섹시한 우리 둘만의 알콩달콩 유쾌짠내 일상로맨스,,
58,58.0,러브어게인 - 대구,연극,Do you remember? 그때 그 시절의 갬성을 느낄 수 있는 100분간의 시간! 관객과 소통하며 즐길 수 있는 유쾌! 발랄! 본격 소통 로맨틱 코미디연극의 진수! 18년이라는 시간을 함께한 서연과 민준이의 현실적인 로맨스를 보여주는 공감 200%의 연극!,,
59,59.0,은밀하게 위대하게 : THE LAST,뮤지컬 ,들개로 태어나 괴물로 길러진 북한의 남파특수공작 5446부대. 최고의 엘리트 요원 원류환. 최고위층 간부의 아들이자 류환 못지 않은 실력자 리해랑. 그리고 최연소 남파간첩 리해진.,,
